CUV|Posición|Nombre Producto|Descripcion1|Descripcion2|Descripcion3|Marca Producto
95266|1|+ PERFUME MAGNAT SELECT|Magnat Select Cologne Atomiseur 90ml. Maderosa activa|||ésika
95266|2|+ DESODORANTE KALOS SPORT |Kalos sport desodorant roll-on 50 ml|||ésika
95266|3|+ BOLSA DE REGALO LBEL|Bolsa de regalo L'Bel (imagen referencial) |||L'BEL
95068|1|+ PERFUME IN LOVE|In love Eau De Parfum 50ml|||cy°zone
95068|2|+ MÁSCARA 5 EN 1 ESIKA PRO 8.5GR/ 29 OZ.|La máscara 5 en 1 repara las cutículas y acondiciona las pestañas gracias a sus óleos naturales.|||ésika
95248|1|+ SOMBRAS TWELVE O'CLOCK|Sombras cyº twelve o’clock. Doce tonos. infinitas posibilidades de resaltar tu mirada. 10 Gr/ 35 Oz.|||cy°zone
95248|2|+ MÁSCARA 5 EN 1 ESIKA PRO 8.5GR/ 29 OZ.|La máscara 5 en 1 repara las cutículas y acondiciona las pestañas gracias a sus óleos naturales.|||ésika
95052|1|+ PERFUME BLUE&BLUE FOR HER|Blue & blue for her Eau De Parfum for her 75ml|||cy°zone
95052|2|+ MÁSCARA 5 EN 1 ESIKA PRO 8.5GR/ 29 OZ.|La máscara 5 en 1 repara las cutículas y acondiciona las pestañas gracias a sus óleos naturales.|||ésika
95191|1|+ MÁSCARA 5 EN 1 ESIKA PRO 8.5GR/ 29 OZ.|La máscara 5 en 1 repara las cutículas y acondiciona las pestañas gracias a sus óleos naturales.|||ésika
95191|2|+ LABIAL PERFECT MATCH VOLUMEN TONO VINO CALIENTE|Perfect Match volumen labial fps20 + delineador para máximo volumen líquido 3ml|||ésika
95191|3|+ BOLSA DE REGALO LBEL|Bolsa de regalo L'Bel (imagen referencial) |||L'BEL
95263|1|+ PERFUME MAGNAT SELECT|Magnat Select Cologne Atomiseur 90ml. Maderosa activa|||ésika
95263|2|+ DESODORANTE FIORI|Fiori desodorante roll-on 50ml|||ésika
95263|3|+ BOLSA DE REGALO LBEL|Bolsa de regalo L'Bel (imagen referencial) |||L'BEL
95241|1|+ PERFUME EXPRESSION|Expression Eau De Parfum Atomiseur 50ml|||ésika
95241|2|+ PERFUME SALVAJE|Salvaje Cologne Atomiseur 100ml|||ésika
95010|1|+ COLONIA YOU|You Eau De Toilette Atomiseur 100ml|||ésika
95010|2|+ PERFUME SALVAJE|Salvaje Cologne Atomiseur 100ml|||ésika
95262|1|+ PERFUME MAGNAT SELECT|Magnat Select Cologne Atomiseur 90ml. Maderosa activa|||ésika
95262|2|+ PERFUME SALVAJE|Salvaje Cologne Atomiseur 100ml|||ésika
